FFIEC Cybersecurity Assessment Tool (CAT) to CRI Profile ver. 2.1 Mapping,FFIEC Cybersecurity Assessment Tool (CAT) to CRI Profile ver. 2.1 Mapping,FFIEC Cybersecurity Assessment Tool (CAT) to CRI Profile ver. 2.1 Mapping,FFIEC Cybersecurity Assessment Tool (CAT) to CRI Profile ver. 2.1 Mapping,FFIEC Cybersecurity Assessment Tool (CAT) to CRI Profile ver. 2.1 Mapping,,
3: Cybersecurity Controls / 1: Preventative Controls / 4: Secure Coding,D3.PC.Se.B.4: Intellectual property and production code are held in escrow. (*N/A if there is no production code to hold in escrow.),Baseline,Partial,EX.TR-01.02: The organization periodically identifies and tests alternative solutions in case a critical external partner fails to perform as expected.,EX.TR-01.02,EXTEND / Relationship Termination / Termination Planning
3: Cybersecurity Controls / 1: Preventative Controls / 4: Secure Coding,"D3.PC.Se.E.1: Security testing occurs at all post-design phases of the SDLC for all applications, including mobile applications. (*N/A if there is no software development.)",Evolving,Full Summarily,"PR.PS-06.01: The organization implements Secure Systems Development Lifecycle processes for in-house software design, configuration, and development, employing best practices from secure-by-design methodologies (e.g., secure coding, code review, application security testing, etc.) during all phases of both traditional and agile projects.",PR.PS-06.01,PROTECT / Platform Security / Secure Systems Development Practices
3: Cybersecurity Controls / 1: Preventative Controls / 4: Secure Coding,"D3.PC.Se.E.1: Security testing occurs at all post-design phases of the SDLC for all applications, including mobile applications. (*N/A if there is no software development.)",Evolving,Full Summarily,"PR.PS-06.05: A software security testing and validation strategy is developed and implemented in the development lifecycle of all software projects, defining testing requirements and plans; performing/automating testing, vulnerability scanning, and migration activities; and supporting code integrity verification (e.g., using digital signatures).",PR.PS-06.05,PROTECT / Platform Security / Secure Systems Development Practices
3: Cybersecurity Controls / 1: Preventative Controls / 4: Secure Coding,"D3.PC.Se.E.1: Security testing occurs at all post-design phases of the SDLC for all applications, including mobile applications. (*N/A if there is no software development.)",Evolving,Full Summarily,"PR.PS-06.06: The system development lifecycle remediates known critical vulnerabilities, and critical vulnerabilities discovered during testing, prior to production deployment.",PR.PS-06.06,PROTECT / Platform Security / Secure Systems Development Practices
3: Cybersecurity Controls / 1: Preventative Controls / 4: Secure Coding,D3.PC.Se.Int.1: Processes are in place to mitigate vulnerabilities identified as part of the secure development of systems and applications.,Intermediate,Full,"PR.PS-06.06: The system development lifecycle remediates known critical vulnerabilities, and critical vulnerabilities discovered during testing, prior to production deployment.",PR.PS-06.06,PROTECT / Platform Security / Secure Systems Development Practices
3: Cybersecurity Controls / 1: Preventative Controls / 4: Secure Coding,"D3.PC.Se.Int.2: The security of applications, including Web-based applications connected to the Internet, is tested against known types of cyber attacks (e.g., SQL injection, cross-site scripting, buffer overflow) before implementation or following significant changes.",Intermediate,Full Summarily,"PR.PS-06.02: The architecture, design, coding, testing, and operationalization of system solutions address the unique security, resilience, technical, and operational characteristics of the target platform environment(s) (e.g., distributed system, mainframe, cloud, API, mobile, database, etc.)",PR.PS-06.02,PROTECT / Platform Security / Secure Systems Development Practices
3: Cybersecurity Controls / 1: Preventative Controls / 4: Secure Coding,"D3.PC.Se.Int.2: The security of applications, including Web-based applications connected to the Internet, is tested against known types of cyber attacks (e.g., SQL injection, cross-site scripting, buffer overflow) before implementation or following significant changes.",Intermediate,Full Summarily,"PR.PS-06.05: A software security testing and validation strategy is developed and implemented in the development lifecycle of all software projects, defining testing requirements and plans; performing/automating testing, vulnerability scanning, and migration activities; and supporting code integrity verification (e.g., using digital signatures).",PR.PS-06.05,PROTECT / Platform Security / Secure Systems Development Practices
3: Cybersecurity Controls / 1: Preventative Controls / 4: Secure Coding,"D3.PC.Se.Int.2: The security of applications, including Web-based applications connected to the Internet, is tested against known types of cyber attacks (e.g., SQL injection, cross-site scripting, buffer overflow) before implementation or following significant changes.",Intermediate,Full Summarily,"PR.PS-06.06: The system development lifecycle remediates known critical vulnerabilities, and critical vulnerabilities discovered during testing, prior to production deployment.",PR.PS-06.06,PROTECT / Platform Security / Secure Systems Development Practices
3: Cybersecurity Controls / 1: Preventative Controls / 4: Secure Coding,D3.PC.Se.Int.3: Software code executables and scripts are digitally signed to confirm the software author and guarantee that the code has not been altered or corrupted.,Intermediate,Full,"DE.CM-09.01: The organization uses integrity checking mechanisms to verify software, firmware and information integrity and provenance (e.g., checksums, Software Bill of Materials, etc.)",DE.CM-09.01,"DETECT / Continuous Monitoring / Hardware, Software, & Data Monitoring"
3: Cybersecurity Controls / 1: Preventative Controls / 4: Secure Coding,"D3.PC.Se.Int.4: A risk-based, independent information assurance function evaluates the security of internal applications.",Intermediate,Partial,"GV.IR-02.02: The independent risk management function regularly assesses the organization's controls and cybersecurity risk exposure, identifies opportunities for improvement based on assessment results, and recommends program improvements",GV.IR-02.02,GOVERN / Independent Risk Management Function / Independent Risk Management Evaluation
3: Cybersecurity Controls / 1: Preventative Controls / 4: Secure Coding,"D3.PC.Se.Int.4: A risk-based, independent information assurance function evaluates the security of internal applications.",Intermediate,Partial,"ID.IM-02.01: The organization conducts regular, independent penetration testing and red team testing on the organization's network, internet-facing systems, critical applications, and associated controls to identify gaps in cybersecurity defenses.",ID.IM-02.01,IDENTIFY / Improvement / Tests & Exercises
3: Cybersecurity Controls / 1: Preventative Controls / 4: Secure Coding,D3.PC.Se.A.1: Vulnerabilities identified through a static code analysis are remediated before implementing newly developed or changed applications into production.,Advanced,Full,"PR.PS-06.06: The system development lifecycle remediates known critical vulnerabilities, and critical vulnerabilities discovered during testing, prior to production deployment.",PR.PS-06.06,PROTECT / Platform Security / Secure Systems Development Practices
3: Cybersecurity Controls / 1: Preventative Controls / 4: Secure Coding,D3.PC.Se.A.2: All interdependencies between applications and services have been identified.,Advanced,Full,"GV.OC-05.01: The organization identifies, assesses, and documents the key dependencies, interdependencies, and potential points of failure to support the delivery of critical services (e.g., systems, business processes, workforce, third parties, facilities, etc.)",GV.OC-05.01,GOVERN / Organizational Context / Organizational Service Dependencies
