,,,Canada Office of the Superintendent of Financial Institutions (OSFI) Cyber Security Self-Assessment (CSSA) to CRI Profile v2.1 Mapping,Canada Office of the Superintendent of Financial Institutions (OSFI) Cyber Security Self-Assessment (CSSA) to CRI Profile v2.1 Mapping,Canada Office of the Superintendent of Financial Institutions (OSFI) Cyber Security Self-Assessment (CSSA) to CRI Profile v2.1 Mapping,Canada Office of the Superintendent of Financial Institutions (OSFI) Cyber Security Self-Assessment (CSSA) to CRI Profile v2.1 Mapping,Canada Office of the Superintendent of Financial Institutions (OSFI) Cyber Security Self-Assessment (CSSA) to CRI Profile v2.1 Mapping,Canada Office of the Superintendent of Financial Institutions (OSFI) Cyber Security Self-Assessment (CSSA) to CRI Profile v2.1 Mapping,Canada Office of the Superintendent of Financial Institutions (OSFI) Cyber Security Self-Assessment (CSSA) to CRI Profile v2.1 Mapping,,
OSFI CSSA-61,Detect,"Benchmarking, Reviews and Assessments",61,"The FRFI communicates security assessment and audit results to appropriate internal management, and to the executive(s) responsible for the cyber risk framework.",Functional ,Intersects with,8,10,"GV.OV-03.01: The organization develops, implements, and reports to management and the governing body (e.g., the Board or one of its committees) key technology and cybersecurity risk and performance indicators and metrics to measure, monitor, and report actionable indicators.",GOVERN / Oversight / Risk Management Performance Measurement,GV.OV-03.01
OSFI CSSA-61,Detect,"Benchmarking, Reviews and Assessments",61,"The FRFI communicates security assessment and audit results to appropriate internal management, and to the executive(s) responsible for the cyber risk framework.",Functional ,Intersects with,8,10,"GV.IR-01.02: The independent risk management function has sufficient independence, stature, authority, resources, and access to the governing body (e.g., the Board or one of its committees), including reporting lines, to ensure consistency with the organization's risk management frameworks.",GOVERN / Independent Risk Management Function / Independent Risk Management Function,GV.IR-01.02
OSFI CSSA-61,Detect,"Benchmarking, Reviews and Assessments",61,"The FRFI communicates security assessment and audit results to appropriate internal management, and to the executive(s) responsible for the cyber risk framework.",Functional ,Superset of,8,10,"GV.IR-03.01: The independent risk management function reports to the governing authority (e.g., the Board or one of its committees) and to the designated risk management officer within the organization on the implementation of the technology and cybersecurity risk management frameworks throughout the organization and its independent assessment of risk posture.",GOVERN / Independent Risk Management Function / Independent Risk Management Reporting,GV.IR-03.01
OSFI CSSA-61,Detect,"Benchmarking, Reviews and Assessments",61,"The FRFI communicates security assessment and audit results to appropriate internal management, and to the executive(s) responsible for the cyber risk framework.",Functional ,Superset of,9,10,"GV.AU-03.03: The independent audit function reports to the governing authority (e.g., the Board or one of its committees) within the organization, including when its assessment differs from that of the organization, or when risk tolerance has been exceeded in any part of the organization.",GOVERN / Independent Audit Function / Independent Audit Reporting,GV.AU-03.03
OSFI CSSA-62,Detect,Secure Software Development,62,The FRFI treats security and the adoption of security best practices as a priority within the software development life cycle.,Functional ,Equal,10,10,"PR.PS-06.01: The organization implements Secure Systems Development Lifecycle processes for in-house software design, configuration, and development, employing best practices from secure-by-design methodologies (e.g., secure coding, code review, application security testing, etc.) during all phases of both traditional and agile projects.",PROTECT / Platform Security / Secure Systems Development Practices,PR.PS-06.01
OSFI CSSA-62,Detect,Secure Software Development,62,The FRFI treats security and the adoption of security best practices as a priority within the software development life cycle.,Functional ,Intersects with,9,10,"PR.PS-06.05: A software security testing and validation strategy is developed and implemented in the development lifecycle of all software projects, defining testing requirements and plans; performing/automating testing, vulnerability scanning, and migration activities; and supporting code integrity verification (e.g., using digital signatures).",PROTECT / Platform Security / Secure Systems Development Practices,PR.PS-06.05
OSFI CSSA-63,Detect,Secure Software Development,63,"The FRFI deploys all software, including off the shelf products, in a segregated test environment, and executes relevant testing and security scans, prior to general deployment.",Functional ,Intersects with,7,10,"PR.PS-06.01: The organization implements Secure Systems Development Lifecycle processes for in-house software design, configuration, and development, employing best practices from secure-by-design methodologies (e.g., secure coding, code review, application security testing, etc.) during all phases of both traditional and agile projects.",PROTECT / Platform Security / Secure Systems Development Practices,PR.PS-06.01
OSFI CSSA-63,Detect,Secure Software Development,63,"The FRFI deploys all software, including off the shelf products, in a segregated test environment, and executes relevant testing and security scans, prior to general deployment.",Functional ,Intersects with,8,10,"PR.PS-06.04: Systems development and testing tools, processes, and environments employ security mechanisms to protect and improve the integrity and confidentiality of both the SDLC process and the resulting product (e.g., secured code repositories, segmented environments, automated builds, etc.)",PROTECT / Platform Security / Secure Systems Development Practices,PR.PS-06.04
OSFI CSSA-63,Detect,Secure Software Development,63,"The FRFI deploys all software, including off the shelf products, in a segregated test environment, and executes relevant testing and security scans, prior to general deployment.",Functional ,Intersects with,7,10,"PR.PS-06.05: A software security testing and validation strategy is developed and implemented in the development lifecycle of all software projects, defining testing requirements and plans; performing/automating testing, vulnerability scanning, and migration activities; and supporting code integrity verification (e.g., using digital signatures).",PROTECT / Platform Security / Secure Systems Development Practices,PR.PS-06.05
OSFI CSSA-63,Detect,Secure Software Development,63,"The FRFI deploys all software, including off the shelf products, in a segregated test environment, and executes relevant testing and security scans, prior to general deployment.",Functional ,Intersects with,7,10,"PR.PS-06.06: The system development lifecycle remediates known critical vulnerabilities, and critical vulnerabilities discovered during testing, prior to production deployment.",PROTECT / Platform Security / Secure Systems Development Practices,PR.PS-06.06
OSFI CSSA-63,Detect,Secure Software Development,63,"The FRFI deploys all software, including off the shelf products, in a segregated test environment, and executes relevant testing and security scans, prior to general deployment.",Functional ,Intersects with,8,10,PR.IR-01.06: The organization's production and non-production environments and data are segregated and managed to prevent unauthorized access or changes to the information assets.,PROTECT / Technology Infrastructure Resilience / Logical Access Protections,PR.IR-01.06
OSFI CSSA-64,Detect,Secure Software Development,64,"The FRFI verifies the code from external sources is from a reputable and recognized source (e.g., by review of digital signature, or hash function).",Functional ,Intersects with,9,10,"PR.PS-06.05: A software security testing and validation strategy is developed and implemented in the development lifecycle of all software projects, defining testing requirements and plans; performing/automating testing, vulnerability scanning, and migration activities; and supporting code integrity verification (e.g., using digital signatures).",PROTECT / Platform Security / Secure Systems Development Practices,PR.PS-06.05
OSFI CSSA-64,Detect,Secure Software Development,64,"The FRFI verifies the code from external sources is from a reputable and recognized source (e.g., by review of digital signature, or hash function).",Functional ,Superset of,9,10,"DE.CM-09.01: The organization uses integrity checking mechanisms to verify software, firmware and information integrity and provenance (e.g., checksums, Software Bill of Materials, etc.)","DETECT / Continuous Monitoring / Hardware, Software, & Data Monitoring",DE.CM-09.01
